id_note, id_etudiant, id_cours, date_note, valeur
51, 51, 51, 2024/01/10, 14.0
52, 52, 52, 2024/01/15, 15.5
53, 53, 53, 2024/01/20, 11.0
54, 54, 54, 2024/01/25, 16.5
55, 55, 55, 2024/02/01, 13.0
56, 56, 56, 2024/02/05, 17.0
57, 57, 57, 2024/02/10, 10.5
58, 58, 58, 2024/02/15, 18.5
59, 59, 59, 2024/02/20, 9.0
60, 60, 60, 2024/02/25, 12.0
61, 61, 61, 2024/03/01, 15.5
62, 62, 62, 2024/03/05, 13.0
63, 63, 63, 2024/03/10, 16.0
64, 64, 64, 2024/03/15, 14.5
65, 65, 65, 2024/03/20, 12.0
66, 66, 66, 2024/03/25, 18.0
67, 67, 67, 2024/03/30, 17.0
68, 68, 68, 2024/04/05, 19.0
69, 69, 69, 2024/04/10, 11.5
70, 70, 70, 2024/04/15, 16.5
71, 71, 71, 2024/05/01, 17.5
72, 72, 72, 2024/05/03, 15.0
73, 73, 73, 2024/05/05, 18.0
74, 74, 74, 2024/05/07, 16.5
75, 75, 75, 2024/05/09, 14.0
76, 76, 76, 2024/05/11, 19.0
77, 77, 77, 2024/05/13, 16.0
78, 78, 78, 2024/05/15, 20.0
79, 79, 79, 2024/05/17, 12.5
80, 80, 80, 2024/05/19, 17.0
81, 81, 81, 2024/05/01, 17.5
82, 82, 82, 2024/05/03, 15.0
83, 83, 83, 2024/05/05, 18.0
84, 84, 84, 2024/05/07, 16.5
85, 85, 85, 2024/05/09, 14.0
86, 86, 86, 2024/05/11, 19.0
87, 87, 87, 2024/05/13, 16.0
88, 88, 88, 2024/05/15, 20.0
89, 89, 89, 2024/05/17, 12.5
90, 90, 90, 2024/05/19, 17.0
